patient,histology,config,source,target
18,LUAD,all_cells_primary,Adventitial fibroblasts,Monocyte-derived Mph
18,LUAD,all_cells_primary,Alveolar fibroblasts,AT2
18,LUAD,all_cells_primary,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,all_cells_primary,Alveolar fibroblasts,Monocyte-derived Mph
18,LUAD,all_cells_primary,Alveolar macrophages,AT2
18,LUAD,all_cells_primary,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,all_cells_primary,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,all_cells_primary,Alveolar macrophages,Myofibroblasts
18,LUAD,all_cells_primary,Monocyte-derived Mph,AT2
18,LUAD,all_cells_primary,Monocyte-derived Mph,Adventitial fibroblasts
18,LUAD,all_cells_primary,Monocyte-derived Mph,Alveolar fibroblasts
18,LUAD,all_cells_primary,Monocyte-derived Mph,Myofibroblasts
18,LUAD,all_cells_primary,Myofibroblasts,AT2
18,LUAD,all_cells_primary,Myofibroblasts,Alveolar macrophages
18,LUAD,all_cells_primary,Myofibroblasts,Monocyte-derived Mph
18,LUAD,cap500_seed1,AT2,Adventitial fibroblasts
18,LUAD,cap500_seed1,AT2,Alveolar fibroblasts
18,LUAD,cap500_seed1,AT2,Myofibroblasts
18,LUAD,cap500_seed1,Adventitial fibroblasts,AT2
18,LUAD,cap500_seed1,Adventitial fibroblasts,Alveolar macrophages
18,LUAD,cap500_seed1,Adventitial fibroblasts,Monocyte-derived Mph
18,LUAD,cap500_seed1,Alveolar fibroblasts,AT2
18,LUAD,cap500_seed1,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,cap500_seed1,Alveolar fibroblasts,Monocyte-derived Mph
18,LUAD,cap500_seed1,Alveolar macrophages,AT2
18,LUAD,cap500_seed1,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,cap500_seed1,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,cap500_seed1,Alveolar macrophages,Myofibroblasts
18,LUAD,cap500_seed1,Monocyte-derived Mph,AT2
18,LUAD,cap500_seed1,Monocyte-derived Mph,Adventitial fibroblasts
18,LUAD,cap500_seed1,Monocyte-derived Mph,Alveolar fibroblasts
18,LUAD,cap500_seed1,Monocyte-derived Mph,Myofibroblasts
18,LUAD,cap500_seed1,Myofibroblasts,AT2
18,LUAD,cap500_seed1,Myofibroblasts,Alveolar macrophages
18,LUAD,cap500_seed1,Myofibroblasts,Monocyte-derived Mph
18,LUAD,cap500_seed2,AT2,Adventitial fibroblasts
18,LUAD,cap500_seed2,AT2,Alveolar fibroblasts
18,LUAD,cap500_seed2,AT2,Myofibroblasts
18,LUAD,cap500_seed2,Adventitial fibroblasts,AT2
18,LUAD,cap500_seed2,Adventitial fibroblasts,Alveolar macrophages
18,LUAD,cap500_seed2,Adventitial fibroblasts,Monocyte-derived Mph
18,LUAD,cap500_seed2,Alveolar fibroblasts,AT2
18,LUAD,cap500_seed2,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,cap500_seed2,Alveolar fibroblasts,Monocyte-derived Mph
18,LUAD,cap500_seed2,Alveolar macrophages,AT2
18,LUAD,cap500_seed2,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,cap500_seed2,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,cap500_seed2,Alveolar macrophages,Myofibroblasts
18,LUAD,cap500_seed2,Monocyte-derived Mph,AT2
18,LUAD,cap500_seed2,Monocyte-derived Mph,Adventitial fibroblasts
18,LUAD,cap500_seed2,Monocyte-derived Mph,Alveolar fibroblasts
18,LUAD,cap500_seed2,Monocyte-derived Mph,Myofibroblasts
18,LUAD,cap500_seed2,Myofibroblasts,AT2
18,LUAD,cap500_seed2,Myofibroblasts,Alveolar macrophages
18,LUAD,cap500_seed2,Myofibroblasts,Monocyte-derived Mph
18,LUAD,floor30,AT2,Adventitial fibroblasts
18,LUAD,floor30,AT2,Alveolar fibroblasts
18,LUAD,floor30,AT2,Myofibroblasts
18,LUAD,floor30,Adventitial fibroblasts,AT2
18,LUAD,floor30,Adventitial fibroblasts,Alveolar macrophages
18,LUAD,floor30,Adventitial fibroblasts,Monocyte-derived Mph
18,LUAD,floor30,Alveolar fibroblasts,AT2
18,LUAD,floor30,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,floor30,Alveolar fibroblasts,Monocyte-derived Mph
18,LUAD,floor30,Alveolar macrophages,AT2
18,LUAD,floor30,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,floor30,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,floor30,Alveolar macrophages,Myofibroblasts
18,LUAD,floor30,Monocyte-derived Mph,AT2
18,LUAD,floor30,Monocyte-derived Mph,Adventitial fibroblasts
18,LUAD,floor30,Monocyte-derived Mph,Alveolar fibroblasts
18,LUAD,floor30,Monocyte-derived Mph,Myofibroblasts
18,LUAD,floor30,Myofibroblasts,AT2
18,LUAD,floor30,Myofibroblasts,Alveolar macrophages
18,LUAD,floor30,Myofibroblasts,Monocyte-derived Mph
18,LUAD,floor100,AT2,Adventitial fibroblasts
18,LUAD,floor100,AT2,Alveolar fibroblasts
18,LUAD,floor100,Adventitial fibroblasts,AT2
18,LUAD,floor100,Adventitial fibroblasts,Alveolar macrophages
18,LUAD,floor100,Alveolar fibroblasts,AT2
18,LUAD,floor100,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,floor100,Alveolar macrophages,AT2
18,LUAD,floor100,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,floor100,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,expression005,AT2,Adventitial fibroblasts
18,LUAD,expression005,AT2,Alveolar fibroblasts
18,LUAD,expression005,AT2,Myofibroblasts
18,LUAD,expression005,Adventitial fibroblasts,AT2
18,LUAD,expression005,Adventitial fibroblasts,Alveolar macrophages
18,LUAD,expression005,Adventitial fibroblasts,Monocyte-derived Mph
18,LUAD,expression005,Alveolar fibroblasts,AT2
18,LUAD,expression005,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,expression005,Alveolar fibroblasts,Monocyte-derived Mph
18,LUAD,expression005,Alveolar macrophages,AT2
18,LUAD,expression005,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,expression005,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,expression005,Alveolar macrophages,Myofibroblasts
18,LUAD,expression005,Monocyte-derived Mph,AT2
18,LUAD,expression005,Monocyte-derived Mph,Adventitial fibroblasts
18,LUAD,expression005,Monocyte-derived Mph,Alveolar fibroblasts
18,LUAD,expression005,Monocyte-derived Mph,Myofibroblasts
18,LUAD,expression005,Myofibroblasts,AT2
18,LUAD,expression005,Myofibroblasts,Alveolar macrophages
18,LUAD,expression005,Myofibroblasts,Monocyte-derived Mph
18,LUAD,expression020,AT2,Adventitial fibroblasts
18,LUAD,expression020,AT2,Alveolar fibroblasts
18,LUAD,expression020,AT2,Myofibroblasts
18,LUAD,expression020,Adventitial fibroblasts,AT2
18,LUAD,expression020,Adventitial fibroblasts,Alveolar macrophages
18,LUAD,expression020,Adventitial fibroblasts,Monocyte-derived Mph
18,LUAD,expression020,Alveolar fibroblasts,AT2
18,LUAD,expression020,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,expression020,Alveolar fibroblasts,Monocyte-derived Mph
18,LUAD,expression020,Alveolar macrophages,AT2
18,LUAD,expression020,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,expression020,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,expression020,Alveolar macrophages,Myofibroblasts
18,LUAD,expression020,Monocyte-derived Mph,AT2
18,LUAD,expression020,Monocyte-derived Mph,Adventitial fibroblasts
18,LUAD,expression020,Monocyte-derived Mph,Alveolar fibroblasts
18,LUAD,expression020,Monocyte-derived Mph,Myofibroblasts
18,LUAD,expression020,Myofibroblasts,AT2
18,LUAD,expression020,Myofibroblasts,Alveolar macrophages
18,LUAD,expression020,Myofibroblasts,Monocyte-derived Mph
18,LUAD,uncertainty030,AT2,Adventitial fibroblasts
18,LUAD,uncertainty030,AT2,Alveolar fibroblasts
18,LUAD,uncertainty030,AT2,Myofibroblasts
18,LUAD,uncertainty030,Adventitial fibroblasts,AT2
18,LUAD,uncertainty030,Adventitial fibroblasts,Alveolar macrophages
18,LUAD,uncertainty030,Adventitial fibroblasts,Monocyte-derived Mph
18,LUAD,uncertainty030,Alveolar fibroblasts,AT2
18,LUAD,uncertainty030,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
18,LUAD,uncertainty030,Alveolar macrophages,AT2
18,LUAD,uncertainty030,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,uncertainty030,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,uncertainty030,Alveolar macrophages,Myofibroblasts
18,LUAD,uncertainty030,Monocyte-derived Mph,AT2
18,LUAD,uncertainty030,Monocyte-derived Mph,Adventitial fibroblasts
18,LUAD,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
18,LUAD,uncertainty030,Monocyte-derived Mph,Myofibroblasts
18,LUAD,uncertainty030,Myofibroblasts,AT2
18,LUAD,uncertainty030,Myofibroblasts,Alveolar macrophages
18,LUAD,uncertainty030,Myofibroblasts,Monocyte-derived Mph
18,LUAD,largest_library,AT2,Adventitial fibroblasts
18,LUAD,largest_library,AT2,Alveolar fibroblasts
18,LUAD,largest_library,AT2,Myofibroblasts
18,LUAD,largest_library,Adventitial fibroblasts,AT2
18,LUAD,largest_library,Adventitial fibroblasts,Alveolar macrophages
18,LUAD,largest_library,Adventitial fibroblasts,Monocyte-derived Mph
18,LUAD,largest_library,Alveolar fibroblasts,AT2
18,LUAD,largest_library,Alveolar fibroblasts,Alveolar macrophages
18,LUAD,largest_library,Alveolar fibroblasts,Monocyte-derived Mph
18,LUAD,largest_library,Alveolar macrophages,AT2
18,LUAD,largest_library,Alveolar macrophages,Adventitial fibroblasts
18,LUAD,largest_library,Alveolar macrophages,Alveolar fibroblasts
18,LUAD,largest_library,Alveolar macrophages,Myofibroblasts
18,LUAD,largest_library,Monocyte-derived Mph,AT2
18,LUAD,largest_library,Monocyte-derived Mph,Adventitial fibroblasts
18,LUAD,largest_library,Monocyte-derived Mph,Alveolar fibroblasts
18,LUAD,largest_library,Monocyte-derived Mph,Myofibroblasts
18,LUAD,largest_library,Myofibroblasts,AT2
18,LUAD,largest_library,Myofibroblasts,Alveolar macrophages
18,LUAD,largest_library,Myofibroblasts,Monocyte-derived Mph
18,MIA,all_cells_primary,AT2,Alveolar fibroblasts
18,MIA,all_cells_primary,AT2,Myofibroblasts
18,MIA,all_cells_primary,Alveolar fibroblasts,AT2
18,MIA,all_cells_primary,Alveolar fibroblasts,Alveolar macrophages
18,MIA,all_cells_primary,Alveolar macrophages,AT2
18,MIA,all_cells_primary,Alveolar macrophages,Alveolar fibroblasts
18,MIA,all_cells_primary,Alveolar macrophages,Myofibroblasts
18,MIA,all_cells_primary,Myofibroblasts,AT2
18,MIA,all_cells_primary,Myofibroblasts,Alveolar macrophages
18,MIA,cap500_seed1,AT2,Alveolar fibroblasts
18,MIA,cap500_seed1,AT2,Myofibroblasts
18,MIA,cap500_seed1,Alveolar fibroblasts,AT2
18,MIA,cap500_seed1,Alveolar fibroblasts,Alveolar macrophages
18,MIA,cap500_seed1,Alveolar macrophages,AT2
18,MIA,cap500_seed1,Alveolar macrophages,Alveolar fibroblasts
18,MIA,cap500_seed1,Alveolar macrophages,Myofibroblasts
18,MIA,cap500_seed1,Myofibroblasts,AT2
18,MIA,cap500_seed1,Myofibroblasts,Alveolar macrophages
18,MIA,cap500_seed2,AT2,Alveolar fibroblasts
18,MIA,cap500_seed2,AT2,Myofibroblasts
18,MIA,cap500_seed2,Alveolar fibroblasts,AT2
18,MIA,cap500_seed2,Alveolar fibroblasts,Alveolar macrophages
18,MIA,cap500_seed2,Alveolar macrophages,AT2
18,MIA,cap500_seed2,Alveolar macrophages,Alveolar fibroblasts
18,MIA,cap500_seed2,Alveolar macrophages,Myofibroblasts
18,MIA,cap500_seed2,Myofibroblasts,AT2
18,MIA,cap500_seed2,Myofibroblasts,Alveolar macrophages
18,MIA,floor30,AT2,Adventitial fibroblasts
18,MIA,floor30,AT2,Alveolar fibroblasts
18,MIA,floor30,AT2,Myofibroblasts
18,MIA,floor30,Adventitial fibroblasts,AT2
18,MIA,floor30,Adventitial fibroblasts,Alveolar macrophages
18,MIA,floor30,Adventitial fibroblasts,Monocyte-derived Mph
18,MIA,floor30,Alveolar fibroblasts,AT2
18,MIA,floor30,Alveolar fibroblasts,Alveolar macrophages
18,MIA,floor30,Alveolar fibroblasts,Monocyte-derived Mph
18,MIA,floor30,Alveolar macrophages,AT2
18,MIA,floor30,Alveolar macrophages,Adventitial fibroblasts
18,MIA,floor30,Alveolar macrophages,Alveolar fibroblasts
18,MIA,floor30,Alveolar macrophages,Myofibroblasts
18,MIA,floor30,Monocyte-derived Mph,AT2
18,MIA,floor30,Monocyte-derived Mph,Adventitial fibroblasts
18,MIA,floor30,Monocyte-derived Mph,Alveolar fibroblasts
18,MIA,floor30,Monocyte-derived Mph,Myofibroblasts
18,MIA,floor30,Myofibroblasts,AT2
18,MIA,floor30,Myofibroblasts,Alveolar macrophages
18,MIA,floor30,Myofibroblasts,Monocyte-derived Mph
18,MIA,floor100,AT2,Alveolar fibroblasts
18,MIA,floor100,AT2,Myofibroblasts
18,MIA,floor100,Alveolar fibroblasts,AT2
18,MIA,floor100,Alveolar fibroblasts,Alveolar macrophages
18,MIA,floor100,Alveolar macrophages,AT2
18,MIA,floor100,Alveolar macrophages,Alveolar fibroblasts
18,MIA,floor100,Alveolar macrophages,Myofibroblasts
18,MIA,floor100,Myofibroblasts,AT2
18,MIA,floor100,Myofibroblasts,Alveolar macrophages
18,MIA,expression005,AT2,Alveolar fibroblasts
18,MIA,expression005,AT2,Myofibroblasts
18,MIA,expression005,Alveolar fibroblasts,AT2
18,MIA,expression005,Alveolar fibroblasts,Alveolar macrophages
18,MIA,expression005,Alveolar macrophages,AT2
18,MIA,expression005,Alveolar macrophages,Alveolar fibroblasts
18,MIA,expression005,Alveolar macrophages,Myofibroblasts
18,MIA,expression005,Myofibroblasts,AT2
18,MIA,expression005,Myofibroblasts,Alveolar macrophages
18,MIA,expression020,AT2,Alveolar fibroblasts
18,MIA,expression020,AT2,Myofibroblasts
18,MIA,expression020,Alveolar fibroblasts,AT2
18,MIA,expression020,Alveolar fibroblasts,Alveolar macrophages
18,MIA,expression020,Alveolar macrophages,AT2
18,MIA,expression020,Alveolar macrophages,Alveolar fibroblasts
18,MIA,expression020,Alveolar macrophages,Myofibroblasts
18,MIA,expression020,Myofibroblasts,AT2
18,MIA,expression020,Myofibroblasts,Alveolar macrophages
18,MIA,uncertainty030,AT2,Adventitial fibroblasts
18,MIA,uncertainty030,AT2,Alveolar fibroblasts
18,MIA,uncertainty030,AT2,Myofibroblasts
18,MIA,uncertainty030,Adventitial fibroblasts,AT2
18,MIA,uncertainty030,Adventitial fibroblasts,Alveolar macrophages
18,MIA,uncertainty030,Adventitial fibroblasts,Monocyte-derived Mph
18,MIA,uncertainty030,Alveolar fibroblasts,AT2
18,MIA,uncertainty030,Alveolar fibroblasts,Alveolar macrophages
18,MIA,uncertainty030,Alveolar fibroblasts,Monocyte-derived Mph
18,MIA,uncertainty030,Alveolar macrophages,AT2
18,MIA,uncertainty030,Alveolar macrophages,Adventitial fibroblasts
18,MIA,uncertainty030,Alveolar macrophages,Alveolar fibroblasts
18,MIA,uncertainty030,Alveolar macrophages,Myofibroblasts
18,MIA,uncertainty030,Monocyte-derived Mph,AT2
18,MIA,uncertainty030,Monocyte-derived Mph,Adventitial fibroblasts
18,MIA,uncertainty030,Monocyte-derived Mph,Alveolar fibroblasts
18,MIA,uncertainty030,Monocyte-derived Mph,Myofibroblasts
18,MIA,uncertainty030,Myofibroblasts,AT2
18,MIA,uncertainty030,Myofibroblasts,Alveolar macrophages
18,MIA,uncertainty030,Myofibroblasts,Monocyte-derived Mph
18,MIA,largest_library,AT2,Alveolar fibroblasts
18,MIA,largest_library,AT2,Myofibroblasts
18,MIA,largest_library,Alveolar fibroblasts,AT2
18,MIA,largest_library,Alveolar fibroblasts,Alveolar macrophages
18,MIA,largest_library,Alveolar macrophages,AT2
18,MIA,largest_library,Alveolar macrophages,Alveolar fibroblasts
18,MIA,largest_library,Alveolar macrophages,Myofibroblasts
18,MIA,largest_library,Myofibroblasts,AT2
18,MIA,largest_library,Myofibroblasts,Alveolar macrophages
18,normal,all_cells_primary,AT2,Alveolar fibroblasts
18,normal,all_cells_primary,Alveolar fibroblasts,AT2
18,normal,all_cells_primary,Alveolar fibroblasts,Alveolar macrophages
18,normal,all_cells_primary,Alveolar macrophages,AT2
18,normal,all_cells_primary,Alveolar macrophages,Alveolar fibroblasts
18,normal,cap500_seed1,AT2,Alveolar fibroblasts
18,normal,cap500_seed1,Alveolar fibroblasts,AT2
18,normal,cap500_seed1,Alveolar fibroblasts,Alveolar macrophages
18,normal,cap500_seed1,Alveolar macrophages,AT2
